ID	strain	group	compartment	host	tax	nifh	genome_size	genes	taxonomy
2030	Leaf100	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	4716235	4444	Methylobacteriaceae
2027	Leaf87	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	4982392	4657	Methylobacteriaceae
2021	Leaf89	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5005286	4661	Methylobacteriaceae
2045	Leaf465	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5055478	4703	Methylobacteriaceae
2028	Leaf88	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5031274	4701	Methylobacteriaceae
2038	Leaf111	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5166228	4834	Methylobacteriaceae
2049	Leaf94	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5247959	4949	Methylobacteriaceae
2036	Leaf125	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5452632	5089	Methylobacteriaceae
2031	Leaf104	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	4968001	4648	Methylobacteriaceae
2034	Leaf117	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5320575	4966	Methylobacteriaceae
2040	Leaf113	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5151901	4760	Methylobacteriaceae
2037	Leaf108	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	4465775	4098	Methylobacteriaceae
2044	Leaf399	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	4456718	4103	Methylobacteriaceae
2048	Leaf466	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	4300541	3997	Methylobacteriaceae
3246	4-46	public	Nodule	Legume	Methylobacterium	TRUE	7737025	6992	Methylobacteriaceae
3261	WSM2598	public	Nodule	Legume	Methylobacterium	TRUE	7669765	7094	Methylobacteriaceae
3250	ORS 2060	public	Nodule	Legume	Methylobacterium	TRUE	8839022	8636	Methylobacteriaceae
2000	Leaf344	atsphere	Leaf	Arabidopsis	Bosea	FALSE	4350923	4033	Bradyrhizobium
2001	Root381	atsphere	Root	Arabidopsis	Bosea	FALSE	5690728	5328	Bradyrhizobium
3043	ASM129592v1	public	Nodule	Legume	Bosea	FALSE	4461984	4237	Bradyrhizobium
3044	ASM129826v1	public	Nodule	Legume	Bosea	FALSE	5593355	5428	Bradyrhizobium
4446	AIM012653	agbiome	Other	Other	Bosea	FALSE	5550012	5360	Bradyrhizobium
2003	Root483D1	atsphere	Root	Arabidopsis	Bosea	FALSE	6609529	6216	Bradyrhizobium
3041	ASM73560v1	public	Nodule	Legume	Bosea	FALSE	6555916	6225	Bradyrhizobium
4832	AIM017987	agbiome	Soil	Soil	Bosea	FALSE	7177180	7030	Bradyrhizobium
3042	ASM74547v1	public	Nodule	Legume	Bosea	FALSE	5613335	5271	Bradyrhizobium
4606	AIM014448	agbiome	Root	Cotton	Bosea	FALSE	5548652	5219	Bradyrhizobium
4508	AIM013166	agbiome	Other	Corn	Bosea	FALSE	5575991	5326	Bradyrhizobium
2002	Root670	atsphere	Root	Arabidopsis	Bosea	FALSE	5365412	5139	Bradyrhizobium
4843	AIM020268	agbiome	Root	Soybean	Bosea	FALSE	5530250	5502	Bradyrhizobium
3045	ASM142031v1	public	Nodule	Legume	Bosea	FALSE	5454810	5181	Bradyrhizobium
4719	AIM015205	agbiome	Root	Other	Bosea	FALSE	6019106	5652	Bradyrhizobium
4774	AIM015654	agbiome	Other	Oats	Bosea	FALSE	4471934	4250	Bradyrhizobium
4776	AIM015659	agbiome	Other	Oats	Bosea	FALSE	4489033	4231	Bradyrhizobium
4771	AIM015651	agbiome	Other	Oats	Bosea	FALSE	4472834	4256	Bradyrhizobium
4772	AIM015652	agbiome	Other	Oats	Bosea	FALSE	4451829	4279	Bradyrhizobium
4773	AIM015653	agbiome	Other	Oats	Bosea	FALSE	4435580	4321	Bradyrhizobium
4770	AIM015650	agbiome	Other	Oats	Bosea	FALSE	4421084	4364	Bradyrhizobium
4775	AIM015658	agbiome	Other	Oats	Bosea	FALSE	4314335	4513	Bradyrhizobium
3156	H5989	public	Nodule	Legume	Devosia	FALSE	4594249	4500	Hyphomicrobiaceae
3144	DDB001	public	Nodule	Legume	Devosia	FALSE	4661722	4555	Hyphomicrobiaceae
3146	17-2-E-8	public	Nodule	Legume	Devosia	FALSE	4656421	4554	Hyphomicrobiaceae
3148	BD-c194	public	Nodule	Legume	Devosia	FALSE	4437225	4289	Hyphomicrobiaceae
3149	IPL18	public	Nodule	Legume	Devosia	FALSE	3449680	3293	Hyphomicrobiaceae
2011	Root685	atsphere	Root	Arabidopsis	Devosia	FALSE	4397626	4115	Hyphomicrobiaceae
3147	IFO13584	public	Nodule	Legume	Devosia	FALSE	5008572	4920	Hyphomicrobiaceae
2008	Leaf420	atsphere	Leaf	Arabidopsis	Devosia	FALSE	4219601	4031	Hyphomicrobiaceae
2005	Leaf64	atsphere	Leaf	Arabidopsis	Devosia	FALSE	4252528	4085	Hyphomicrobiaceae
3151	GH2-10	public	Nodule	Legume	Devosia	FALSE	4122173	4046	Hyphomicrobiaceae
3154	HST3-14	public	Nodule	Legume	Devosia	FALSE	4123118	4048	Hyphomicrobiaceae
3152	DS-56	public	Nodule	Legume	Devosia	FALSE	3782844	3658	Hyphomicrobiaceae
3155	E84	public	Nodule	Legume	Devosia	FALSE	3844893	3723	Hyphomicrobiaceae
3153	Cr7-05	public	Nodule	Legume	Devosia	FALSE	4473266	4505	Hyphomicrobiaceae
2009	Root436	atsphere	Root	Arabidopsis	Devosia	FALSE	3919126	3799	Hyphomicrobiaceae
2010	Root635	atsphere	Root	Arabidopsis	Devosia	FALSE	3816678	3675	Hyphomicrobiaceae
3145	LC5	public	Nodule	Legume	Devosia	FALSE	4201504	4138	Hyphomicrobiaceae
4366	AIM011101	agbiome	Root	Soybean	Devosia	FALSE	4801320	4765	Hyphomicrobiaceae
3150	DSM 17137	public	Nodule	Legume	Devosia	FALSE	4431767	4233	Hyphomicrobiaceae
3157	A16	public	Nodule	Legume	Devosia	FALSE	5032994	4886	Hyphomicrobiaceae
2007	Root413D1	atsphere	Root	Arabidopsis	Devosia	FALSE	5851492	5617	Hyphomicrobiaceae
2006	Root105	atsphere	Root	Arabidopsis	Devosia	FALSE	5850260	5656	Hyphomicrobiaceae
3159	WSM2075	public	Nodule	Legume	Mesorhizobium	TRUE	6884444	6635	Mesorhizobium
3209	LNHC221B00	public	Nodule	Legume	Mesorhizobium	TRUE	6755469	6553	Mesorhizobium
3184	LNHC232B00	public	Nodule	Legume	Mesorhizobium	TRUE	6986305	6792	Mesorhizobium
3166	NZP2037	public	Nodule	Legume	Mesorhizobium	TRUE	7462792	7213	Mesorhizobium
3233	7653R	public	Nodule	Legume	Mesorhizobium	TRUE	6881675	6797	Mesorhizobium
3221	R7A	public	Nodule	Legume	Mesorhizobium	TRUE	6529530	6236	Mesorhizobium
3158	MAFF303099	public	Nodule	Legume	Mesorhizobium	TRUE	7596297	7377	Mesorhizobium
3170	USDA 3471	public	Nodule	Legume	Mesorhizobium	TRUE	7023073	6714	Mesorhizobium
2018	Root172	atsphere	Root	Arabidopsis	Mesorhizobium	FALSE	6838880	6549	Mesorhizobium
3225	R88b	public	Nodule	Legume	Mesorhizobium	TRUE	7195110	6867	Mesorhizobium
3171	CJ3sym	public	Nodule	Legume	Mesorhizobium	TRUE	7563725	7333	Mesorhizobium
3232	URHC0008	public	Nodule	Legume	Mesorhizobium	FALSE	7106298	6752	Mesorhizobium
3161	WSM2073	public	Nodule	Legume	Mesorhizobium	TRUE	6200534	5935	Mesorhizobium
3182	LNHC220B00	public	Nodule	Legume	Mesorhizobium	TRUE	6661414	6523	Mesorhizobium
3183	LNHC229A00	public	Nodule	Legume	Mesorhizobium	TRUE	6815905	6731	Mesorhizobium
3208	LNHC209A00	public	Nodule	Legume	Mesorhizobium	TRUE	6647317	6458	Mesorhizobium
3224	WSM3626	public	Nodule	Legume	Mesorhizobium	TRUE	6283661	6168	Mesorhizobium
3167	URHA0056	public	Nodule	Legume	Mesorhizobium	FALSE	6306952	6160	Mesorhizobium
3160	WSM1271	public	Nodule	Legume	Mesorhizobium	TRUE	6690028	6405	Mesorhizobium
3222	WSM1293	public	Nodule	Legume	Mesorhizobium	TRUE	6938611	6644	Mesorhizobium
3169	CMG6	public	Nodule	Legume	Mesorhizobium	TRUE	6910194	6644	Mesorhizobium
3226	WSM4083	public	Nodule	Legume	Mesorhizobium	TRUE	6847884	6599	Mesorhizobium
3206	L2C084A000	public	Nodule	Legume	Mesorhizobium	TRUE	6634331	6451	Mesorhizobium
2017	Root695	atsphere	Root	Arabidopsis	Mesorhizobium	FALSE	6565519	6412	Mesorhizobium
2012	Root102	atsphere	Root	Arabidopsis	Mesorhizobium	FALSE	6761570	6583	Mesorhizobium
3210	LNHC252B00	public	Nodule	Legume	Mesorhizobium	TRUE	6769197	6709	Mesorhizobium
3177	L103C565B0	public	Nodule	Legume	Mesorhizobium	FALSE	6146683	5920	Mesorhizobium
3214	LSHC412B00	public	Nodule	Legume	Mesorhizobium	TRUE	6522318	6335	Mesorhizobium
3198	LSHC432A00	public	Nodule	Legume	Mesorhizobium	FALSE	5989894	5833	Mesorhizobium
3217	LSHC440B00	public	Nodule	Legume	Mesorhizobium	TRUE	6461302	6299	Mesorhizobium
3218	LSJC255A00	public	Nodule	Legume	Mesorhizobium	TRUE	6806382	6690	Mesorhizobium
3199	LSHC440A00	public	Nodule	Legume	Mesorhizobium	TRUE	6464344	6347	Mesorhizobium
3194	LSHC414A00	public	Nodule	Legume	Mesorhizobium	TRUE	6570463	6418	Mesorhizobium
3211	LNJC384A00	public	Nodule	Legume	Mesorhizobium	TRUE	6528135	6408	Mesorhizobium
3189	LNJC391B00	public	Nodule	Legume	Mesorhizobium	TRUE	6388821	6189	Mesorhizobium
3192	LNJC399B00	public	Nodule	Legume	Mesorhizobium	TRUE	6528125	6250	Mesorhizobium
3201	LSJC265A00	public	Nodule	Legume	Mesorhizobium	TRUE	6803396	6648	Mesorhizobium
3205	L2C067A000	public	Nodule	Legume	Mesorhizobium	TRUE	6673493	6560	Mesorhizobium
3213	LNJC403B00	public	Nodule	Legume	Mesorhizobium	FALSE	5947317	5732	Mesorhizobium
3193	LNJC405B00	public	Nodule	Legume	Mesorhizobium	TRUE	6631484	6474	Mesorhizobium
3231	URHB0007	public	Nodule	Legume	Mesorhizobium	FALSE	6069513	5780	Mesorhizobium
3173	L103C105A0	public	Nodule	Legume	Mesorhizobium	TRUE	6519934	6379	Mesorhizobium
3187	LNJC380A00	public	Nodule	Legume	Mesorhizobium	FALSE	5752495	5585	Mesorhizobium
3207	L2C085B000	public	Nodule	Legume	Mesorhizobium	TRUE	6600937	6450	Mesorhizobium
3202	LSJC268A00	public	Nodule	Legume	Mesorhizobium	TRUE	6637962	6478	Mesorhizobium
3188	LNJC386A00	public	Nodule	Legume	Mesorhizobium	FALSE	6175245	6004	Mesorhizobium
3212	LNJC398B00	public	Nodule	Legume	Mesorhizobium	FALSE	5957649	5760	Mesorhizobium
3174	L103C119B0	public	Nodule	Legume	Mesorhizobium	TRUE	6725096	6537	Mesorhizobium
3180	L2C089B000	public	Nodule	Legume	Mesorhizobium	TRUE	6708915	6525	Mesorhizobium
3178	L2C054A000	public	Nodule	Legume	Mesorhizobium	TRUE	6395892	6228	Mesorhizobium
3197	LSHC426A00	public	Nodule	Legume	Mesorhizobium	TRUE	6486028	6275	Mesorhizobium
3195	LSHC416B00	public	Nodule	Legume	Mesorhizobium	TRUE	6644891	6514	Mesorhizobium
3196	LSHC424B00	public	Nodule	Legume	Mesorhizobium	TRUE	6647953	6500	Mesorhizobium
3175	L103C120A0	public	Nodule	Legume	Mesorhizobium	TRUE	6610754	6428	Mesorhizobium
3179	L2C066B000	public	Nodule	Legume	Mesorhizobium	TRUE	6634925	6488	Mesorhizobium
3203	LSJC269B00	public	Nodule	Legume	Mesorhizobium	TRUE	6557138	6396	Mesorhizobium
3220	LSJC285A00	public	Nodule	Legume	Mesorhizobium	TRUE	6694778	6568	Mesorhizobium
3185	LNJC372A00	public	Nodule	Legume	Mesorhizobium	TRUE	6523874	6287	Mesorhizobium
3186	LNJC374B00	public	Nodule	Legume	Mesorhizobium	TRUE	6522780	6307	Mesorhizobium
3176	L103C131B0	public	Nodule	Legume	Mesorhizobium	TRUE	6589313	6342	Mesorhizobium
3216	LSHC422A00	public	Nodule	Legume	Mesorhizobium	TRUE	6645017	6452	Mesorhizobium
3219	LSJC277A00	public	Nodule	Legume	Mesorhizobium	TRUE	6498108	6413	Mesorhizobium
3200	LSJC264A00	public	Nodule	Legume	Mesorhizobium	TRUE	6559540	6493	Mesorhizobium
3191	LNJC395A00	public	Nodule	Legume	Mesorhizobium	TRUE	6331752	6153	Mesorhizobium
4453	AIM012681	agbiome	Other	Other	Mesorhizobium	FALSE	6208895	6496	Mesorhizobium
4449	AIM012663	agbiome	Other	Other	Mesorhizobium	FALSE	6448763	6158	Mesorhizobium
4451	AIM012675	agbiome	Other	Other	Mesorhizobium	FALSE	6222442	5977	Mesorhizobium
4452	AIM012679	agbiome	Other	Other	Mesorhizobium	FALSE	6086980	5928	Mesorhizobium
3215	LSHC420B00	public	Nodule	Legume	Mesorhizobium	TRUE	7044680	7085	Mesorhizobium
3204	LSJC280B00	public	Nodule	Legume	Mesorhizobium	TRUE	7021328	7032	Mesorhizobium
3181	L48C026A00	public	Nodule	Legume	Mesorhizobium	TRUE	7770655	7690	Mesorhizobium
3223	WSM2561	public	Nodule	Legume	Mesorhizobium	TRUE	7037543	6830	Mesorhizobium
3165	STM 4661	public	Nodule	Legume	Mesorhizobium	TRUE	6547395	6313	Mesorhizobium
3164	STM 2683	public	Nodule	Legume	Mesorhizobium	TRUE	6232533	6061	Mesorhizobium
3162	CCNWGS0123	public	Nodule	Legume	Mesorhizobium	TRUE	7271161	6974	Mesorhizobium
3237	NA	public	Nodule	Legume	Mesorhizobium	TRUE	7136869	6781	Mesorhizobium
3235	NA	public	Nodule	Legume	Mesorhizobium	TRUE	7631313	7346	Mesorhizobium
3236	NA	public	Nodule	Legume	Mesorhizobium	TRUE	7222359	6938	Mesorhizobium
3243	NA	public	Nodule	Legume	Mesorhizobium	TRUE	7098743	6747	Mesorhizobium
3238	NA	public	Nodule	Legume	Mesorhizobium	TRUE	6503916	6220	Mesorhizobium
3240	NA	public	Nodule	Legume	Mesorhizobium	TRUE	6857051	6586	Mesorhizobium
3168	WSM3224	public	Nodule	Legume	Mesorhizobium	TRUE	7096802	6880	Mesorhizobium
3239	NA	public	Nodule	Legume	Mesorhizobium	TRUE	6546936	6261	Mesorhizobium
2013	Root1471	atsphere	Root	Arabidopsis	Mesorhizobium	FALSE	3750538	3624	Mesorhizobium
2014	Root554	atsphere	Root	Arabidopsis	Mesorhizobium	FALSE	3749717	3627	Mesorhizobium
3228	NBIMC_P2-C3	public	Nodule	Legume	Mesorhizobium	FALSE	5538678	5240	Mesorhizobium
3229	NBIMC_P2-C4	public	Nodule	Legume	Mesorhizobium	FALSE	6358798	5970	Mesorhizobium
3227	NBIMC_P2-C2	public	Nodule	Legume	Mesorhizobium	FALSE	5527801	5253	Mesorhizobium
3230	NBIMC_P2-C1	public	Nodule	Legume	Mesorhizobium	FALSE	5938371	5614	Mesorhizobium
3244	1M-11	public	Nodule	Legume	Mesorhizobium	FALSE	6689479	6433	Mesorhizobium
2016	Root157	atsphere	Root	Arabidopsis	Mesorhizobium	FALSE	4193379	4095	Mesorhizobium
2015	Root552	atsphere	Root	Arabidopsis	Mesorhizobium	FALSE	4619371	4516	Mesorhizobium
3242	LC103	public	Nodule	Legume	Mesorhizobium	FALSE	6050619	5819	Mesorhizobium
3290	LMG 3301	public	Nodule	Legume	Ochrobactrum	FALSE	4725392	4554	Other
3292	M86	public	Nodule	Legume	Ochrobactrum	FALSE	5172306	5198	Other
3296	EGD-AQ16	public	Nodule	Legume	Ochrobactrum	FALSE	4834336	4623	Other
3295	EGD-AQ16	public	Nodule	Legume	Ochrobactrum	FALSE	4839722	4628	Other
4664	AIM014690	agbiome	Other	Soybean	Ochrobactrum	FALSE	5013691	4889	Other
3300	2745-2	public	Nodule	Legume	Ochrobactrum	FALSE	4782735	4635	Other
4769	AIM015639	agbiome	Other	Wheat	Ochrobactrum	FALSE	4637978	4489	Other
4208	AIM009323	agbiome	Other	Other	Ochrobactrum	FALSE	4496421	4282	Other
4207	AIM009315	agbiome	Other	Rice	Ochrobactrum	FALSE	4482131	4318	Other
4661	AIM014666	agbiome	Other	Cucumber	Ochrobactrum	FALSE	5142163	5027	Other
4663	AIM014669	agbiome	Other	Cucumber	Ochrobactrum	FALSE	5133065	5038	Other
4652	AIM014635	agbiome	Other	Corn	Ochrobactrum	FALSE	4671482	4435	Other
4657	AIM014652	agbiome	Other	Cucumber	Ochrobactrum	FALSE	4574697	4393	Other
4819	AIM016914	agbiome	Soil	Soil	Ochrobactrum	FALSE	4350027	4141	Other
4793	AIM016069	agbiome	Other	Corn	Ochrobactrum	FALSE	4737112	4512	Other
