ID	collection	procedence	GC_ID	n_contigs	tot_length	N50	N90	n_genes	quality	kingdom	phylum	class	order	family	genus	taxonomic_group	host	compartment	soil	alternative_ID	plate_position	acession_number	RSV_V2V4_ID	RSV_V5V7_ID	copy_number_16S
Leaf15	AtSPHERE	AtSPHERE		37	6556788	365347	118243	5976	clean	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	6.007.270.147
Leaf16	AtSPHERE	AtSPHERE		16	3945932	353063	129985	3652	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	288.911.511
Leaf17	AtSPHERE	AtSPHERE		11	3204003	442806	231965	3036	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	323.904.603
Leaf20	AtSPHERE	AtSPHERE		15	4313322	1145256	123320	3961	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	3.783.924.741
Leaf22	AtSPHERE	AtSPHERE		45	4216368	165210	52732	3851	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	3.226.429.958
Leaf23	AtSPHERE	AtSPHERE		8	3804425	795229	335150	3582	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	3.307.465.368
Leaf24	AtSPHERE	AtSPHERE		22	4001919	211401	125104	3667	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.949.570.992
Leaf25	AtSPHERE	AtSPHERE		33	4000316	464963	71752	3656	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.937.574.375
Leaf26	AtSPHERE	AtSPHERE		33	4822147	350591	69145	4483	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.140.075.381
Leaf28	AtSPHERE	AtSPHERE		14	4454691	913790	335739	4112	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	5.355.080.275
Leaf29	AtSPHERE	AtSPHERE		15	3945508	371705	133589	3649	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	287.242.553
Leaf30	AtSPHERE	AtSPHERE		22	4403081	1039912	69493	3987	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	3.908.547.042
Leaf32	AtSPHERE	AtSPHERE		14	3946283	377269	129980	3652	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.959.736.059
Leaf33	AtSPHERE	AtSPHERE		19	3231312	2394297	136733	3152	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.013.437.738
Leaf34	AtSPHERE	AtSPHERE		6	3943835	657241	651863	3627	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.424.413.411
Leaf38	AtSPHERE	AtSPHERE		15	3994960	747922	274268	3667	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.078.952.291
Leaf41	AtSPHERE	AtSPHERE		13	4780472	557215	258120	4211	clean	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.700.957.269
Leaf42	AtSPHERE	AtSPHERE		11	3783593	622899	183303	3476	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.783.269.844
Leaf44	AtSPHERE	AtSPHERE		11	3373506	1227012	232356	3161	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.983.930.485
Leaf48	AtSPHERE	AtSPHERE		33	5689447	306370	128869	5226	clean	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	6.782.026.338
Leaf49	AtSPHERE	AtSPHERE		26	3934505	297105	84917	4163	clean	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		Arabidopsis thaliana	Leaf	Zurich				NA	NA	7.291.579.818
Leaf50	AtSPHERE	AtSPHERE		21	5390593	513086	131645	4986	clean	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			Arabidopsis thaliana	Leaf	Zurich				NA	NA	7.038.005.945
Leaf51	AtSPHERE	AtSPHERE		58	5420896	283262	62528	4954	clean	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Rahnella		Arabidopsis thaliana	Leaf	Zurich				NA	NA	7.246.764.027
Leaf53	AtSPHERE	AtSPHERE		27	5115519	483606	141937	4675	clean	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Erwinia		Arabidopsis thaliana	Leaf	Zurich				NA	NA	6.976.036.783
Leaf58	AtSPHERE	AtSPHERE		18	6283121	904463	165376	5925	clean	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	6.732.654.568
Leaf61	AtSPHERE	AtSPHERE		33	6231257	467923	116499	5319	clean	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae			Arabidopsis thaliana	Leaf	Zurich				NA	NA	7.146.251.106
Leaf62	AtSPHERE	AtSPHERE		33	4142413	251941	82029	3765	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	3.042.360.189
Leaf64	AtSPHERE	AtSPHERE		24	4252528	406640	138433	4116	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae			Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.274.469.137
Leaf67	AtSPHERE	AtSPHERE		25	4192908	324035	178664	3824	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.996.822.034
Leaf68	AtSPHERE	AtSPHERE		15	4784953	632666	251681	4473	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.156.767.819
Leaf69	AtSPHERE	AtSPHERE		17	4140548	507262	214308	3798	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter		Arabidopsis thaliana	Leaf	Zurich				NA	NA	531.365.817
Leaf70	AtSPHERE	AtSPHERE		11	4032657	684638	263462	3567	clean	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	3.650.044.218
Leaf72	AtSPHERE	AtSPHERE		35	7576528	509501	109784	6756	clean	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		Arabidopsis thaliana	Leaf	Zurich				NA	NA	8.724.810.544
Leaf75	AtSPHERE	AtSPHERE		75	6031561	236970	37032	6332	clean	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		Arabidopsis thaliana	Leaf	Zurich				NA	NA	138.233.537
Leaf76	AtSPHERE	AtSPHERE		30	5870153	326160	110425	5252	clean	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax		Arabidopsis thaliana	Leaf	Zurich				NA	NA	284.111.371
Leaf78	AtSPHERE	AtSPHERE		26	5749411	487893	154699	5135	clean	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.580.560.278
Leaf82	AtSPHERE	AtSPHERE		37	5674764	308751	84933	4820	clean	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	5.575.857.486
Leaf83	AtSPHERE	AtSPHERE		39	5538830	416534	84850	5101	clean	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.024.742.859
Leaf84	AtSPHERE	AtSPHERE		29	5869697	407953	104227	5220	clean	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.816.929.295
Leaf85	AtSPHERE	AtSPHERE		35	5143223	329657	98866	4861	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.025.659.118
Leaf86	AtSPHERE	AtSPHERE		44	5303880	267233	62631	5013	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.024.601.261
Leaf87	AtSPHERE	AtSPHERE		61	4982392	207491	44782	4666	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.480.406.178
Leaf88	AtSPHERE	AtSPHERE		55	5031274	273027	58078	4704	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	5.202.348.379
Leaf89	AtSPHERE	AtSPHERE		32	5005286	341520	116331	4674	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	559.313.015
Leaf90	AtSPHERE	AtSPHERE		59	5671203	312100	59627	5313	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.857.480.464
Leaf91	AtSPHERE	AtSPHERE		52	5260378	231586	63179	4985	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	377.445.958
Leaf92	AtSPHERE	AtSPHERE		45	5453864	504230	95948	5130	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.889.604.005
Leaf93	AtSPHERE	AtSPHERE		31	4746437	372780	92985	4450	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.024.437.911
Leaf94	AtSPHERE	AtSPHERE		64	5247959	193422	38123	4967	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.477.435.948
Leaf99	AtSPHERE	AtSPHERE		14	4645412	908384	120207	4390	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.382.473.946
Leaf100	AtSPHERE	AtSPHERE		63	4716235	224925	35906	4474	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.624.323.184
Leaf102	AtSPHERE	AtSPHERE		41	4659682	340047	62672	4386	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.652.436.456
Leaf104	AtSPHERE	AtSPHERE		41	4968001	328769	86836	4676	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	6.187.821.612
Leaf106	AtSPHERE	AtSPHERE		36	4759318	431655	63245	4468	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	3.955.322.172
Leaf108	AtSPHERE	AtSPHERE		35	4465775	324003	94946	4142	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.611.452.697
Leaf111	AtSPHERE	AtSPHERE		74	5166228	266828	44568	4850	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.330.277.622
Leaf112	AtSPHERE	AtSPHERE		34	4693153	313841	65419	4472	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.710.953.568
Leaf113	AtSPHERE	AtSPHERE		54	5151901	189663	51459	4777	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.331.606.306
Leaf117	AtSPHERE	AtSPHERE		40	5320575	626185	70953	4991	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	3.727.067.572
Leaf119	AtSPHERE	AtSPHERE		25	5423799	381535	169791	5000	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.871.013.182
Leaf121	AtSPHERE	AtSPHERE		32	5528490	315516	111121	5168	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.874.512.917
Leaf122	AtSPHERE	AtSPHERE		43	5516691	307578	71829	5212	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.597.960.706
Leaf123	AtSPHERE	AtSPHERE		40	5437666	371233	96660	5072	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.534.992.785
Leaf125	AtSPHERE	AtSPHERE		49	5452632	297038	59480	5114	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	3.680.618.467
Leaf126	AtSPHERE	AtSPHERE		36	5315014	519908	150345	4534	clean	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae			Arabidopsis thaliana	Leaf	Zurich				NA	NA	8.175.272.354
Leaf127	AtSPHERE	AtSPHERE		26	6376752	737721	150110	5686	clean	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	623.911.857
Leaf129	AtSPHERE	AtSPHERE		13	4877329	736650	417042	4416	clean	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	5.913.980.615
Leaf130	AtSPHERE	AtSPHERE		12	4045863	2297303	213018	3802	clean	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		Arabidopsis thaliana	Leaf	Zurich				NA	NA	6.346.454.475
Leaf131	AtSPHERE	AtSPHERE		22	5169088	345933	212045	4264	clean	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.478.723.404
Leaf137	AtSPHERE	AtSPHERE		24	4375549	334918	114713	4072	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.022.781.968
Leaf139	AtSPHERE	AtSPHERE		28	5387355	605961	132672	4768	clean	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia		Arabidopsis thaliana	Leaf	Zurich				NA	NA	6.007.898.352
Leaf141	AtSPHERE	AtSPHERE		45	4355554	216407	57696	4007	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter		Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.955.313.801
Leaf145	AtSPHERE	AtSPHERE		29	4493998	372685	68467	4303	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter		Arabidopsis thaliana	Leaf	Zurich				NA	NA	6.528.035.304
Leaf148	AtSPHERE	AtSPHERE		15	5217728	992582	275981	4311	clean	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.397.109.017
Leaf151	AtSPHERE	AtSPHERE		7	3609602	907679	703467	3365	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.447.169.782
Leaf154	AtSPHERE	AtSPHERE		10	3640711	461801	221546	3489	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	1.866.883.816
Leaf155	AtSPHERE	AtSPHERE		12	4942144	863115	334859	4651	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	444.931.369
Leaf159	AtSPHERE	AtSPHERE		5	3887207	2865742	866189	3743	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	1.771.014.715
Leaf160	AtSPHERE	AtSPHERE		29	4717897	295544	78756	4188	clean	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.956.165.195
Leaf161	AtSPHERE	AtSPHERE		6	3630887	2677831	430494	3530	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	173.830.231
Leaf164	AtSPHERE	AtSPHERE		6	3287584	1695727	1496342	3029	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	1.751.904.406
Leaf168	AtSPHERE	AtSPHERE		14	2973636	349782	157917	2953	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae			Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.108.820.961
Leaf171	AtSPHERE	AtSPHERE		5	3893704	2478797	511181	3657	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	1.829.708.456
Leaf172	AtSPHERE	AtSPHERE		7	3246786	1144076	161686	3067	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	1.629.871.647
Leaf176	AtSPHERE	AtSPHERE		9	4753721	769368	366904	4205	clean	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.831.204.998
Leaf177	AtSPHERE	AtSPHERE		26	6804288	501580	113506	6179	clean	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia		Arabidopsis thaliana	Leaf	Zurich				NA	NA	3.972.545.985
Leaf179	AtSPHERE	AtSPHERE		8	3533805	843947	336326	3324	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.582.928.403
Leaf180	AtSPHERE	AtSPHERE		15	3353784	436909	151053	3164	clean	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae			Arabidopsis thaliana	Leaf	Zurich				NA	NA	4.728.219.944
Leaf182	AtSPHERE	AtSPHERE		34	6465042	362086	129203	6045	clean	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus		Arabidopsis thaliana	Leaf	Zurich				NA	NA	1.477.399.214
Leaf183	AtSPHERE	AtSPHERE		12	3580776	699744	186256	3421	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.221.328.376
Leaf185	AtSPHERE	AtSPHERE		8	4105549	1080438	389974	3902	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae			Arabidopsis thaliana	Leaf	Zurich				NA	NA	1.997.586.304
Leaf186	AtSPHERE	AtSPHERE		17	3439013	1051558	333288	3163	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	1.539.127.601
Leaf187	AtSPHERE	AtSPHERE		16	3309560	1909678	138216	3470	clean	Bacteria	Firmicutes	Bacilli	Bacillales	Exiguobacterium	Exiguobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	903.464.334
Leaf189	AtSPHERE	AtSPHERE		11	6065072	1221954	345892	5185	clean	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter		Arabidopsis thaliana	Leaf	Zurich				NA	NA	377.284.234
Leaf191	AtSPHERE	AtSPHERE		24	5870193	538462	145005	5247	clean	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.818.497.475
Leaf194	AtSPHERE	AtSPHERE		15	4573096	955977	147459	4049	clean	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae			Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.830.278.674
Leaf196	AtSPHERE	AtSPHERE		13	2975898	627137	162232	3137	clean	Bacteria	Firmicutes	Bacilli	Bacillales	Exiguobacterium	Exiguobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	9.469.176.437
Leaf198	AtSPHERE	AtSPHERE		7	4201813	1232793	546930	3845	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	271.618.193
Leaf201	AtSPHERE	AtSPHERE		144	4338957	51686	15459	4034	clean	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae			Arabidopsis thaliana	Leaf	Zurich				NA	NA	5.054.899.578
